,company_name
SWKS,"Skyworks Solutions, Inc."
ALGM,"Allegro MicroSystems, Inc."
QRVO,"Qorvo, Inc."
SLAB,"Silicon Laboratories, Inc."
CRUS,"Cirrus Logic, Inc."
MXL,"MaxLinear, Inc"
VSH,"Vishay Intertechnology, Inc."
SYNA,Synaptics Incorporated
DIOD,Diodes Incorporated
LASR,"nLIGHT, Inc."
PI,"Impinj, Inc."
POWI,"Power Integrations, Inc."
NVTS,Navitas Semiconductor Corporati
AMBQ,"Ambiq Micro, Inc."
SKYT,"SkyWater Technology, Inc."
AIP,"Arteris, Inc."
WOLF,"Wolfspeed, Inc."
POET,POET Technologies Inc.
CEVA,"CEVA, Inc."
AOSL,Alpha and Omega Semiconductor L
NVEC,NVE Corporation
MRAM,"Everspin Technologies, Inc."
ALMU,"Aeluma, Inc."
QUIK,QuickLogic Corporation
GSIT,"GSI Technology, Inc."
PXLW,"Pixelworks, Inc."
AMAT,"Applied Materials, Inc."
LRCX,Lam Research Corporation
KLAC,KLA Corporation
TER,"Teradyne, Inc."
Q,"Qnity Electronics, Inc."
ENTG,"Entegris, Inc."
AMKR,"Amkor Technology, Inc."
NVMI,Nova Ltd.
ONTO,Onto Innovation Inc.
FORM,"FormFactor, Inc."
CAMT,Camtek Ltd.
ACMR,"ACM Research, Inc."
KLIC,"Kulicke and Soffa Industries, I"
UCTT,"Ultra Clean Holdings, Inc."
ACLS,"Axcelis Technologies, Inc."
IPGP,IPG Photonics Corporation
VECO,Veeco Instruments Inc.
AXTI,AXT Inc
ICHR,Ichor Holdings
AMBA,"Ambarella, Inc."
AEHR,Aehr Test Systems
COHU,"Cohu, Inc."
PLAB,"Photronics, Inc."
ASYS,"Amtech Systems, Inc."
ATOM,Atomera Incorporated
INTT,inTest Corporation
TRT,Trio-Tech International
RBCN,"Rubicon Technology, Inc."
SCIA,"SCI Engineered Materials, Inc."
